tweet_id,favorite_count,retweet_count,followers_count,friends_count,source,retweeted_status,url
831670449226514432,11063,1972,7438051,10,Twitter for iPhone,Original tweet,https://t.co/u6p4LxzHKg
831552930092285952,9538,2490,7438051,10,Twitter for iPhone,Original tweet,https://t.co/IiB5fchBNM
831322785565769729,9732,1662,7438051,10,Twitter for iPhone,Original tweet,https://t.co/Xc0gyovCtK
831309418084069378,12418,2657,7438051,10,Twitter for iPhone,Original tweet,https://t.co/CAFr8SiFl9
830583320585068544,70980,18343,7438051,10,Twitter for iPhone,Original tweet,https://t.co/SATN4If5H5
830097400375152640,10422,3277,7438051,10,Twitter for iPhone,Original tweet,https://t.co/1hPFQL9xpK
829878982036299777,0,5466,7438051,10,Twitter for iPhone,This is a retweet,This is a retweet
829501995190984704,33697,11566,7438051,10,Twitter for iPhone,Original tweet,https://t.co/hzjGiTmhgj
829374341691346946,36743,10158,7438051,10,Twitter for iPhone,Original tweet,https://t.co/xo7FZFIAao
829141528400556032,26018,8082,7438051,10,Twitter for iPhone,Original tweet,https://t.co/rHwfySggqR
829011960981237760,56270,17665,7438051,10,Twitter for iPhone,Original tweet,https://t.co/GBAOEZbHhN
828801551087042563,0,3711,7438051,10,Twitter for iPhone,This is a retweet,This is a retweet
828770345708580865,27144,6412,7438051,10,Twitter for iPhone,Original tweet,https://t.co/iiswSKWKPF
828708714936930305,38887,12252,7438051,10,Twitter for iPhone,Original tweet,https://t.co/WKw8mEljj2
828650029636317184,10093,1470,7438051,10,Twitter for iPhone,Original tweet,https://t.co/bZ4axuH6OK
828409743546925057,6679,1254,7438051,10,Twitter for iPhone,Original tweet,https://t.co/ZH5CvRlCxt
828381636999917570,13413,2423,7438051,10,Twitter for iPhone,Original tweet,https://t.co/sPHZB0Hwf0
828376505180889089,7845,1161,7438052,10,Twitter for iPhone,Original tweet,https://t.co/HKBVZqXFNR
828372645993398273,13310,3205,7438052,10,Twitter for iPhone,Original tweet,https://t.co/aYBUiGornB
828361771580813312,2329,184,7438052,10,Twitter Web Client,Original tweet,n
828046555563323392,12496,3124,7438052,10,Twitter for iPhone,Original tweet,https://t.co/sD8LLJIDzZ
827653905312006145,16402,3286,7438052,10,Twitter for iPhone,Original tweet,https://t.co/0UTrm0dQfI
827600520311402496,7868,1035,7438052,10,Twitter for iPhone,Original tweet,https://t.co/Fx3mpICbFz
827324948884643840,16886,3344,7438052,10,Twitter for iPhone,Original tweet,https://t.co/oIRnxBH7mJ
827199976799354881,11238,2450,7438052,10,Twitter for iPhone,Original tweet,https://t.co/zV7A8OnKPV
826958653328592898,22945,5466,7438052,10,Twitter for iPhone,Original tweet,https://t.co/QV5nx6otZR
826615380357632002,0,4312,7438052,10,Twitter for iPhone,This is a retweet,This is a retweet
826598799820865537,5441,277,7438052,10,Twitter for iPhone,Original tweet,g
826598365270007810,10715,2562,7438052,10,Twitter for iPhone,Original tweet,https://t.co/YprN62Z74I
826476773533745153,19604,4580,7438053,10,Twitter for iPhone,Original tweet,https://t.co/qeIgYo9OLq
826240494070030336,14119,2823,7438053,10,Twitter for iPhone,Original tweet,https://t.co/srXL2s868C
826204788643753985,5192,1018,7438053,10,Twitter for iPhone,Original tweet,https://t.co/1httNYrCeW https://t.co/KvaM8j3jhX
825829644528148480,13567,2723,7438053,10,Twitter for iPhone,Original tweet,https://t.co/YimNdkZrhM
825535076884762624,55437,18807,7438053,10,Twitter for iPhone,Original tweet,https://t.co/804eeysJkI
825147591692263424,19484,5005,7438053,10,Twitter for iPhone,Original tweet,https://t.co/AyBEmx56MD
